ཀ་ཅོག་ཞང་གསུམ་,སྐ་ཅོག་ཞང་གསུམ་
ཁུ་འཁྲིག་,ཁུ་འཕྲིག་
དཔགས་ཆེན་,དཔག་ཆེན་
དཔའ་ཀློང༌,དབའ་ཀློང་
དཔུང་དམྱྀག་བྱུང༌,དཔུང་དམྱིག་བྱུང་
དབུར་ཏེ་,དབུར་ཏི་
དབྱར་ཁབ་,དབྱར་ཁང་
དབྱར་བསྙལ་བསླངས་,དབྱར་ཉལ་ལངས་
དབྱར་མོ་ཐང་,གཡེར་མོ་ཐང་
དབྱུག་གུ་ཤིང༌,ཡུ་གུ་ཤིང་
དབྱུག་ཐོ་,དབྱུག་ཏོ་
དབྱེན་བསྡུམས་མཆོད་རྟེན་,དབྱེན་ཟླུམ་མཆོད་རྟེན་
དབྱེན་འདུམ་མཆོད་རྟེན་,དབྱེན་ཟླུམ་མཆོད་རྟེན་
དམངས་གཙོ་,མང་གཙོ་
དམའ་པོ་,དམའ་བོ་
དམར་བོ་དར་ཡ་ཀན་,དམར་པོ་དར་ཡ་ཀན་
པག་པོར་,པག་ཕོར་
པགས་བྱིའུ་,པགས་བྱེའུ་
ཀ་རས་ཁ་བླངས་,(བུངས་ནི་བོངས་
གཉན་འདུལ་པ་,ཞེས་དང་
གཟའ་དུག་སེར་པོ་,གཟའ་དུག་སེར་བོ་
ཉེའུ་ཤིང༌,ཉེ་ཤིང་
དགྲ་ཟིན་,དགྲ་ཟུན་
དཱུར་བ་,དཱུར་ཝ་
མ་རྨོས་ལོ་ཏོག་,མ་རྨོས་ལོ་ཐོག་
མཁུན་བུ་ཅན་,འཁུན་
མཆུ་ཕྱང༌,མཆུ་འཕྱང་
མརྒད་,རིན་པོ་ཆེ་མརྒཏ་
མུར་གོང་གཤོང་,མུར་གོང་གཤོངས་
ཙནྡན་དམར་པོ་,ཙན་དན་དམར་པོ་
གཞོམས་,གཞོམ་
འཁྱམས་པོ་གཟའ་ནད་,འཁྱམ་པོ་གཟའ་ནད་
འདེལ་པ་,འདེལ་བ་
འདྲེ་ལྡོག་,འགྲེ་ལྡོག་
འུག་སྤུར་,འུག་པུར་
རམ་པ་,རན་པ་
རྒུ་ཐུབ་,དགུ་ཐུབ་
རྐྱལ་པ་,རྐྱལ་བ་
རྩ་མཁྲིས་བ་མོ་ཁ་,རྩྭ་མཁྲིས་བ་མོ་ཁ་
རྩྭ་མཁྲིས་མཆོག་,རྩ་མཁྲིས་མཆོག་
ལ་ཀྵ་,ལ་ཆ་
ལྕེ་སྤྱང་རྭ་,ཅེ་སྤྱང་རྭ་
ཤིང་དེ་ཝ་,ཤིང་དེ་བ་
ཤུ་ལོ་ཀ་,
རྒྱང་ཕན་པ་,ཕྱི་རོལ་རྒྱང་འཕེན་པའི་མིང་
མདོ་སྡེ་བ་,མདོ་སྡེ་པ་
ལོཙྪ་བ་བན་དེ་དཔལ་གྱི་དབྱངས་,ལོཙྪ་བ་བནྡེ་དཔལ་གྱི་དབྱངས་
མངས་སྟོན་པ་,མང་སྟོན་པ་ཞེས་པ་
ཛམ་ཐང་,ཛཾ་ཐང་
ཕྱགས་དར་,ཕྱག་དར་
མོའུ་དགལ་གྱི་བུ་,མོའུ་འགལ་གྱི་བུ་
དྲུས་,བྲུས་
གནོན་ཁྲི་བཙུན་གཡུ་བྱིན་,གནོན་ཁྲི་བདུན་གཡུ་སྦྱིན་ཞེས་པ་
རྡ་རྡུ་ར་,རྡ་དུ་ར་
རྩྭ་ག་པུར་,རྩྭ་ག་བུར་
ཁ་ཐུན་,ཁ་ཐོན་
ཏཱ་སིག་,ཏ་ཟིག་
པྲྀ་ཐི་ཝཱི་དྷཱ་ཏུཿ་,པྲྀ་ཐི་བཱི་སརྦ་ཊ་ཀཿ་
བུ་ལི་སྤྲུལ་སྐུ་,
བྷུ་ལི་སྤྲུལ་སྐུ་,བུ་ལི་སྤྲུལ་སྐུ་ཞེས་པ་
ཕ་ཝཾ་རྡོ་རྗེ་རྒྱ་གྲམ་ཅན་,ཕ་བོང་རྡོ་རྗེ་རྒྱ་གྲམ་ཅན་
རྩིགས་མ་,རྩིག་མ་
རྒྱལ་བོ་,རྒྱལ་པོ་
གྲྭ་བ་,གྲྭ་པ་
མོའུ་མགལ་གྱི་བུ་,མོའུ་འགལ་གྱི་བུ་
འགེད་,འགྱེད་
ཁྲི་བ་,ཁྲི་པ་ཞེས་པ་
ལྡོང་རུ་,རྡོ་ར་
ལྡོང་རུ་ཁོག་,རྡོ་ར་ཁོག་
ལྡོང་རུ་ཁོག་པ་,རྡོ་ར་ཁོག་པ་
སྟག་ཡུལ་སྡེ་བ་,ཏཱ་ཡེ་སྡེ་བ་
ལྡོང་རུ་སྡེ་རྒན་བཅུ་གཉིས་,རྡོ་ར་སྡེ་རྒན་བཅུ་གཉིས་
ཉིན་གཙང༌,སྙུག་ཚར་
སྤེལ་གུ་,པཱེ་གོང་
སྟག་ཡུལ་,ཏཱ་ཡེ་
མཆེར་བ་,མཚེར་བ་སྟེ་མཆེར་པ་
རྒྱངས་ཕན་,རྒྱང་ཕན་
རྒྱངས་པན་,རྒྱངས་ཕན་
ཉན་ཐོས་སྡེ་བ་བཅོ་བརྒྱད་,ཉན་ཐོས་སྡེ་པ་བཅོ་བརྒྱད་ཅེས་པ་
འགོ་པ་,མགོ་པ་
འབའ་ཁུག་,སྦ་ཁུག་
ལྗངས་,འཇང་
སྐུར་པ་,སྐུར་བ་
